issue,year,n,prop,prop_lib,prop_cons
premarsx,1978,1494,0.5903614457831325,0.7338308457711443,0.47649572649572647
racfew,1978,1511,0.9536730641958967,0.9526184538653366,0.9597457627118644
rachaf,1978,1413,0.8181174805378627,0.8779840848806366,0.7562076749435666
racmost,1978,1130,0.6221238938053097,0.6422018348623854,0.5805471124620061
racopen,1978,1480,0.4168918918918919,0.5552763819095478,0.33832976445396146
suicide1,1978,1483,0.39649359406608226,0.5012787723785166,0.35560344827586204
suicide2,1978,1521,0.055226824457593686,0.10918114143920596,0.037815126050420166
suicide3,1978,1524,0.06299212598425197,0.11442786069651742,0.050314465408805034
suicide4,1978,1511,0.11978821972203839,0.19451371571072318,0.07855626326963906
wirtap,1978,1483,0.803776129467296,0.8341708542713567,0.7784946236559139
abany,1980,1406,0.41109530583214793,0.4972067039106145,0.37310195227765725
abdefect,1980,1419,0.8308668076109936,0.8746518105849582,0.7974137931034483
abhlth,1980,1429,0.9013296011196641,0.9273743016759777,0.8758029978586723
abnomore,1980,1407,0.47121535181236673,0.5403899721448467,0.4264069264069264
abpoor,1980,1408,0.5170454545454546,0.5949720670391061,0.4717391304347826
abrape,1980,1411,0.8341601700921333,0.8707865168539326,0.8140043763676149
absingle,1980,1404,0.4843304843304843,0.5611111111111111,0.42358078602620086
cappun,1980,1372,0.28425655976676384,0.3903133903133903,0.20833333333333334
colath,1980,1419,0.4686398872445384,0.6190476190476191,0.41630901287553645
colcom,1980,1377,0.43209876543209874,0.5470085470085471,0.3869565217391304
colhomo,1980,1410,0.5680851063829787,0.6842105263157895,0.47956989247311826
colmil,1980,1404,0.41096866096866097,0.5348189415041783,0.34490238611713664
colrac,1980,1399,0.4503216583273767,0.5156695156695157,0.43897216274089934
grass,1980,1420,0.2563380281690141,0.39775910364145656,0.1841541755888651
gunlaw,1980,1439,0.7074357192494788,0.7325905292479109,0.6461864406779662
hitbeatr,1980,1417,0.1559633027522936,0.15254237288135594,0.14163090128755365
hitchild,1980,1396,0.5229226361031518,0.5299145299145299,0.5411255411255411
hitdrunk,1980,1414,0.900990099009901,0.9180790960451978,0.8972162740899358
hitmarch,1980,1430,0.9566433566433566,0.9613259668508287,0.9634408602150538
hitok,1980,1406,0.34992887624466573,0.36768802228412256,0.3137254901960784
hitrobbr,1980,1426,0.16549789621318373,0.18611111111111112,0.13704496788008566
homosex,1980,1397,0.20687186828919113,0.347953216374269,0.15732758620689655
libath,1980,1430,0.6356643356643357,0.770949720670391,0.5919661733615222
libcom,1980,1410,0.5950354609929078,0.7191011235955056,0.5427350427350427
libhomo,1980,1434,0.594839609483961,0.7134986225895317,0.5569620253164557
libmil,1980,1417,0.6012702893436839,0.7142857142857143,0.5501066098081023
librac,1980,1411,0.6626506024096386,0.7492957746478873,0.648068669527897
polabuse,1980,1430,0.8615384615384616,0.9164345403899722,0.8461538461538461
polattak,1980,1446,0.04564315352697095,0.04986149584487535,0.033542976939203356
polescap,1980,1399,0.20943531093638312,0.22443181818181818,0.18818380743982493
polhitok,1980,1412,0.24858356940509915,0.2627118644067797,0.19914346895074947
polmurdr,1980,1430,0.9146853146853147,0.9277777777777778,0.9030172413793104
pornlaw,1980,1436,0.06267409470752089,0.08310249307479224,0.07112970711297072
racmar,1980,1427,0.700770847932726,0.7805555555555556,0.6954643628509719
racopen,1980,1418,0.4315937940761636,0.5252808988764045,0.3576017130620985
racpush,1980,1428,0.3396358543417367,0.5,0.28118393234672306
racseg,1980,1414,0.6881188118811881,0.773109243697479,0.6602972399150743
spkath,1980,1456,0.6668956043956044,0.7753424657534247,0.6367432150313153
spkcom,1980,1430,0.5657342657342658,0.6776859504132231,0.5338983050847458
spkhomo,1980,1422,0.680028129395218,0.778393351800554,0.6488222698072805
spkmil,1980,1436,0.5807799442896936,0.699724517906336,0.5605095541401274
spkrac,1980,1425,0.6329824561403509,0.7277777777777777,0.625531914893617
xmarsex,1980,1444,0.13573407202216067,0.22033898305084745,0.10251046025104603
abany,1982,1760,0.38522727272727275,0.48897795591182364,0.3136094674556213
